"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.137982290E-1,7.951192558E-2,1.340619922E0,9.697276115E0,9.789828802E0
7.161799480E-1,6.514734030E-2,1.345408201E0,9.716429710E0,9.809351340E0
7.185620310E-1,6.993553042E-2,1.359772801E0,9.706851959E0,9.801879820E0
7.209451040E-1,1.273939013E-1,1.364560843E0,9.654182434E0,9.750974001E0
7.233280210E-1,1.178174913E-1,1.393290162E0,9.678123474E0,9.778609943E0
7.257085930E-1,1.082411110E-1,1.331043482E0,9.716429710E0,9.807772388E0
7.280906250E-1,8.430013061E-2,1.326255441E0,9.730792999E0,9.821119712E0
7.304729160E-1,9.866471589E-2,1.335831761E0,9.716429710E0,9.808322361E0
7.328544270E-1,9.866471589E-2,1.383713722E0,9.697276115E0,9.795997267E0
7.352354680E-1,1.082411110E-1,1.378925562E0,9.716429710E0,9.814385267E0
7.376169790E-1,7.472373545E-2,1.340619922E0,9.740370750E0,9.832480245E0
7.399991140E-1,6.035912782E-2,1.354984522E0,9.726005554E0,9.820122724E0
7.423809890E-1,1.130293161E-1,1.335831761E0,9.716429710E0,9.808477376E0
7.447871870E-1,1.034529060E-1,1.364560843E0,9.649394035E0,9.745949623E0
7.471445310E-1,9.866471589E-2,1.398078322E0,9.702064514E0,9.802775809E0
7.495260410E-1,5.557093769E-2,1.383713722E0,9.735582352E0,9.833581012E0
7.519089580E-1,5.557093769E-2,1.354984522E0,9.692488670E0,9.786899806E0
7.542902080E-1,1.034529060E-1,1.354984522E0,9.668547630E0,9.763580226E0
7.566718230E-1,1.369702965E-1,1.364560843E0,9.721217155E0,9.817476770E0
7.590541660E-1,1.034529060E-1,1.364560843E0,9.702064514E0,9.798101073E0
7.614354680E-1,7.472373545E-2,1.359772801E0,9.735582352E0,9.830367716E0
7.638181250E-1,6.993553042E-2,1.345408201E0,9.702064514E0,9.795155437E0
7.662015100E-1,1.082411110E-1,1.331043482E0,9.658969879E0,9.750850835E0
7.685796870E-1,1.034529060E-1,1.383713722E0,9.678123474E0,9.777087509E0
